Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,xG/90,market_value_eur_M
Gavi Müller 306,ENG,FW,Athletic Club,La Liga,21,7,0,126,9,6,15,7,2,2,0,0,3.56,2.04,4.39,6.43,190,46,113,6.43,4.29,2.54,180.9
Bukayo Martinez 307,ARG,MF,Athletic Club,La Liga,26,24,1,789,4,8,12,4,0,0,7,0,5.19,5.19,9.03,14.22,66,256,116,0.46,0.91,0.59,134.5
Trent Fischer 308,BEL,MF,Athletic Club,La Liga,32,11,1,155,5,6,11,5,0,0,3,0,3.29,3.29,5.93,9.22,132,293,122,2.9,3.48,1.91,57.4
Phil Rossi 309,BRA,GK,Athletic Club,La Liga,27,9,6,471,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,25,1,0.0,0.0,0.0,14.8
Harry Rodríguez 310,BRA,GK,Athletic Club,La Liga,32,23,10,923,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,7,0.0,0.0,0.0,10.8
Son Schneider 311,ESP,GK,Athletic Club,La Liga,23,20,11,1206,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,23,2,0.0,0.0,0.0,7.6
Bruno Dupont 312,ESP,DF,Athletic Club,La Liga,31,32,32,2752,3,0,3,3,0,0,1,0,1.29,1.29,4.95,6.24,66,36,59,0.1,0.0,0.04,30.6
Kevin Hernández 313,NED,DF,Athletic Club,La Liga,25,9,9,711,1,3,4,1,0,0,4,0,3.17,3.17,0.02,3.19,49,26,55,0.13,0.38,0.4,34.9
Robert Meyer 314,POL,GK,Athletic Club,La Liga,22,20,4,692,0,0,0,0,0,1,2,1,0.0,0.0,0.0,0.0,0,14,4,0.0,0.0,0.0,6.7
Luca Silva 315,MAR,MF,Athletic Club,La Liga,22,22,0,880,6,7,13,6,0,0,4,0,0.89,0.89,2.67,3.56,33,295,40,0.61,0.72,0.09,49.5
Marco González 316,ARG,FW,Athletic Club,La Liga,27,22,6,1158,11,7,18,11,0,0,1,0,3.08,3.08,0.07,3.15,173,111,91,0.85,0.54,0.24,200.0
James Weber 317,POL,FW,Athletic Club,La Liga,24,7,0,168,10,3,13,10,0,0,1,0,5.5,5.5,3.59,9.09,131,118,90,5.36,1.61,2.95,169.6
Carlos Santos 318,ARG,MF,Athletic Club,La Liga,24,26,2,576,4,4,8,4,0,0,5,0,6.67,6.67,0.46,7.13,109,284,77,0.62,0.62,1.04,41.3
Luis Pérez 319,POR,MF,Athletic Club,La Liga,31,26,19,1243,7,5,12,7,0,0,2,0,1.81,1.81,5.12,6.93,134,218,94,0.51,0.36,0.13,121.7
Antoine Smith 320,BEL,MF,Athletic Club,La Liga,29,15,9,687,4,5,9,4,0,0,4,0,0.08,0.08,0.18,0.26,36,174,88,0.52,0.66,0.01,44.2
Kai López 321,SEN,DF,Athletic Club,La Liga,27,33,7,1551,1,1,2,1,0,0,3,0,0.19,0.19,0.57,0.76,60,106,34,0.06,0.06,0.01,28.8
Jude Wagner 322,ESP,MF,Real Sociedad,La Liga,34,7,3,200,4,5,9,4,0,1,5,0,5.99,5.99,8.62,14.61,40,157,60,1.8,2.25,2.7,99.5
Vinicius Garcia 323,POL,DF,Real Sociedad,La Liga,22,19,2,379,2,4,6,2,0,0,3,0,0.3,0.3,1.85,2.15,48,42,77,0.47,0.95,0.07,26.8
Erling Fernández 324,CRO,DF,Real Sociedad,La Liga,23,5,1,174,0,5,5,0,0,0,1,0,2.26,2.26,2.42,4.68,45,67,60,0.0,2.59,1.17,42.5
Kylian Becker 325,BEL,DF,Real Sociedad,La Liga,24,33,5,910,1,2,3,1,0,0,4,0,0.43,0.43,2.96,3.39,23,108,77,0.1,0.2,0.04,33.1
Pedri Müller 326,POR,MF,Real Sociedad,La Liga,19,11,8,579,5,4,9,5,0,1,4,0,2.94,2.94,4.19,7.13,131,54,125,0.78,0.62,0.46,89.6
Gavi Martinez 327,BRA,MF,Real Sociedad,La Liga,23,9,9,450,4,9,13,4,0,0,4,0,0.38,0.38,0.1,0.48,124,196,101,0.8,1.8,0.08,60.2
Bukayo Fischer 328,SEN,DF,Real Sociedad,La Liga,24,15,2,393,0,0,0,0,0,1,2,0,0.41,0.41,4.95,5.36,19,50,69,0.0,0.0,0.09,20.4
Trent Rossi 329,BEL,DF,Real Sociedad,La Liga,28,28,15,1358,0,2,2,0,0,0,7,0,1.64,1.64,0.53,2.17,73,20,72,0.0,0.13,0.11,34.6
Phil Rodríguez 330,FRA,FW,Real Sociedad,La Liga,24,17,2,268,6,3,9,6,0,0,0,0,3.38,3.38,3.37,6.75,132,115,91,2.01,1.01,1.14,45.6
Harry Schneider 331,COL,DF,Real Sociedad,La Liga,27,26,14,830,0,5,5,0,0,1,1,0,1.46,1.46,0.96,2.42,35,67,49,0.0,0.54,0.16,28.4
Son Dupont 332,SEN,GK,Real Sociedad,La Liga,21,20,8,684,0,0,0,0,0,1,2,0,0.0,0.0,0.0,0.0,0,10,6,0.0,0.0,0.0,5.7
Bruno Hernández 333,COL,GK,Real Sociedad,La Liga,31,17,8,633,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,18,6,0.0,0.0,0.0,12.1
Kevin Meyer 334,BRA,MF,Real Sociedad,La Liga,28,7,4,369,1,8,9,1,0,0,5,0,3.83,3.83,21.32,25.15,55,190,97,0.24,1.95,0.93,80.1
Robert Silva 335,COL,MF,Real Sociedad,La Liga,27,9,4,377,4,5,9,4,0,0,4,0,1.63,1.63,4.68,6.31,119,156,87,0.95,1.19,0.39,67.3
Luca González 336,ARG,MF,Real Sociedad,La Liga,32,10,2,478,1,6,7,1,0,0,4,0,6.24,6.24,4.82,11.06,115,228,104,0.19,1.13,1.17,63.6
Marco Weber 337,CRO,DF,Real Sociedad,La Liga,25,22,12,1398,2,2,4,2,0,0,2,0,1.36,1.36,0.17,1.53,16,128,15,0.13,0.13,0.09,25.3
James Santos 338,ITA,FW,Real Sociedad,La Liga,29,17,13,1231,7,6,13,7,0,0,2,0,1.29,1.29,0.22,1.51,47,99,190,0.51,0.44,0.09,93.2
Carlos Pérez 339,MAR,GK,Real Sociedad,La Liga,25,20,0,400,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,20,7,0.0,0.0,0.0,8.0
Luis Smith 340,NED,GK,Real Sociedad,La Liga,19,16,13,1070,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,7,0,0.0,0.0,0.0,9.3
Antoine López 341,ARG,DF,Valencia,La Liga,27,29,25,2107,3,3,6,3,0,0,3,0,0.86,0.86,1.32,2.18,15,74,53,0.13,0.13,0.04,43.1
Kai Wagner 342,POL,FW,Valencia,La Liga,29,11,7,659,16,7,23,16,0,0,0,0,0.2,0.2,9.15,9.35,90,98,154,2.19,0.96,0.03,86.0
Jude Garcia 343,BRA,DF,Valencia,La Liga,29,22,10,678,0,2,2,0,0,0,1,0,0.66,0.66,0.32,0.98,71,138,46,0.0,0.27,0.09,27.4
Vinicius Fernández 344,NED,FW,Valencia,La Liga,25,15,8,907,10,8,18,10,0,0,1,0,0.91,0.91,11.07,11.98,146,68,80,0.99,0.79,0.09,117.1
Erling Becker 345,GER,DF,Valencia,La Liga,22,13,4,492,0,1,1,0,0,0,3,0,0.34,0.34,5.49,5.83,50,21,76,0.0,0.18,0.06,10.5
Kylian Müller 346,BEL,FW,Valencia,La Liga,25,27,22,1786,10,4,14,10,0,0,3,0,23.62,23.62,0.31,23.93,184,84,190,0.5,0.2,1.19,107.8
Pedri Martinez 347,POR,FW,Valencia,La Liga,19,19,0,532,18,1,19,16,2,2,1,0,49.72,48.2,0.89,49.09,42,37,111,3.05,0.17,8.41,200.0
Gavi Fischer 348,NGR,DF,Valencia,La Liga,29,7,2,288,3,1,4,3,0,0,1,0,1.15,1.15,1.07,2.22,46,67,10,0.94,0.31,0.36,21.9
Bukayo Rossi 349,BEL,DF,Valencia,La Liga,23,29,28,1379,0,2,2,0,0,0,1,0,0.05,0.05,1.24,1.29,17,29,76,0.0,0.13,0.0,30.1
Trent Rodríguez 350,ITA,MF,Valencia,La Liga,23,27,15,1353,7,6,13,7,0,0,6,0,6.26,6.26,0.06,6.32,57,123,125,0.47,0.4,0.42,74.4
Phil Schneider 351,URU,FW,Valencia,La Liga,26,19,10,1227,10,4,14,9,1,1,2,0,2.69,1.93,10.39,12.32,75,100,147,0.73,0.29,0.2,125.9
Harry Dupont 352,GER,DF,Valencia,La Liga,22,24,7,643,1,0,1,1,0,0,1,0,0.83,0.83,0.61,1.44,44,42,55,0.14,0.0,0.12,12.0
Son Hernández 353,CRO,MF,Valencia,La Liga,29,29,14,1047,5,6,11,5,0,0,4,0,1.15,1.15,4.46,5.61,50,50,116,0.43,0.52,0.1,98.5
Bruno Meyer 354,MAR,FW,Valencia,La Liga,28,16,9,911,6,2,8,6,0,0,0,0,1.84,1.84,0.54,2.38,44,35,76,0.59,0.2,0.18,43.9
Kevin Silva 355,CRO,MF,Valencia,La Liga,23,30,28,2100,3,6,9,3,0,0,3,0,0.36,0.36,0.19,0.55,73,82,72,0.13,0.26,0.02,101.5
Robert González 356,ITA,FW,Valencia,La Liga,23,20,10,910,14,2,16,14,0,0,1,0,13.63,13.63,4.94,18.57,116,49,108,1.38,0.2,1.35,118.3
Luca Weber 357,ARG,FW,Valencia,La Liga,27,22,20,1142,10,6,16,9,1,1,2,0,2.46,1.7,8.12,9.82,85,65,73,0.79,0.47,0.19,83.3
Marco Santos 358,ENG,FW,Valencia,La Liga,21,17,13,1293,13,4,17,13,0,0,1,0,16.04,16.04,17.71,33.75,71,28,164,0.9,0.28,1.12,179.0
James Pérez 359,POR,MF,Valencia,La Liga,20,23,15,1182,2,2,4,2,0,0,3,0,6.54,6.54,0.1,6.64,124,130,100,0.15,0.15,0.5,80.1
Carlos Smith 360,ENG,MF,Valencia,La Liga,24,15,11,799,2,6,8,2,0,0,4,0,1.51,1.51,8.31,9.82,74,232,125,0.23,0.68,0.17,79.2
Luis López 361,POL,GK,Valencia,La Liga,29,26,4,1048,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,21,8,0.0,0.0,0.0,9.1
Antoine Wagner 362,MAR,MF,Valencia,La Liga,19,33,19,1897,5,11,16,5,0,1,0,0,12.13,12.13,7.82,19.95,69,190,97,0.24,0.52,0.58,148.1
Kai Garcia 363,ARG,MF,Valencia,La Liga,32,21,15,1068,4,2,6,4,0,0,4,0,0.44,0.44,8.38,8.82,139,276,177,0.34,0.17,0.04,30.8
Jude Fernández 364,MAR,DF,Valencia,La Liga,27,33,19,1984,2,1,3,2,0,0,5,0,0.84,0.84,1.0,1.84,57,28,76,0.09,0.05,0.04,43.9
Vinicius Becker 365,GER,FW,Valencia,La Liga,19,22,5,879,13,7,20,12,1,1,1,0,6.5,5.74,0.51,6.25,154,83,211,1.33,0.72,0.67,198.8
Erling Müller 366,ITA,MF,Villarreal,La Liga,29,26,4,964,1,6,7,1,0,0,2,0,2.93,2.93,7.38,10.31,99,205,134,0.09,0.56,0.27,77.0
Kylian Martinez 367,BRA,MF,Villarreal,La Liga,31,32,28,1616,2,10,12,2,0,0,4,0,4.68,4.68,13.99,18.67,110,66,107,0.11,0.56,0.26,78.5
Pedri Fischer 368,POL,DF,Villarreal,La Liga,32,7,7,525,1,1,2,1,0,0,2,0,1.03,1.03,0.33,1.36,51,66,14,0.17,0.17,0.18,18.6
Gavi Rossi 369,FRA,FW,Villarreal,La Liga,26,33,16,1681,8,3,11,8,0,1,0,0,2.88,2.88,1.0,3.88,182,70,195,0.43,0.16,0.15,79.8
Bukayo Rodríguez 370,URU,MF,Villarreal,La Liga,25,24,9,873,6,10,16,6,0,0,4,0,2.06,2.06,0.12,2.18,141,279,63,0.62,1.03,0.21,140.6
Trent Schneider 371,NGR,FW,Villarreal,La Liga,31,16,10,626,7,3,10,7,0,0,0,0,14.37,14.37,0.75,15.12,59,30,155,1.01,0.43,2.07,193.0
Phil Dupont 372,BRA,FW,Villarreal,La Liga,17,25,13,1329,7,5,12,6,1,1,0,0,5.44,4.68,3.18,7.86,42,29,179,0.47,0.34,0.37,102.6
Harry Hernández 373,GER,MF,Villarreal,La Liga,23,20,13,1144,2,4,6,2,0,0,6,0,7.49,7.49,6.59,14.08,107,53,83,0.16,0.31,0.59,28.0
Son Meyer 374,NGR,FW,Villarreal,La Liga,24,25,7,1305,13,8,21,12,1,1,1,0,13.87,13.11,13.26,26.37,66,71,205,0.9,0.55,0.96,200.0
Bruno Silva 375,NED,FW,Villarreal,La Liga,24,19,14,1258,12,7,19,12,0,0,1,0,12.91,12.91,0.27,13.18,139,115,188,0.86,0.5,0.92,200.0
Kevin González 376,BRA,FW,Villarreal,La Liga,26,21,9,975,10,1,11,10,0,0,0,0,14.61,14.61,7.45,22.06,92,51,165,0.92,0.09,1.35,200.0
Robert Weber 377,GER,MF,Villarreal,La Liga,25,16,10,872,1,7,8,1,0,1,4,0,1.66,1.66,0.37,2.03,130,144,126,0.1,0.72,0.17,49.5
Luca Santos 378,POR,DF,Villarreal,La Liga,18,14,0,546,0,1,1,0,0,1,1,0,1.07,1.07,0.31,1.38,66,39,58,0.0,0.16,0.18,13.5
Marco Pérez 379,SEN,FW,Villarreal,La Liga,28,11,4,505,11,9,20,11,0,1,1,0,3.18,3.18,1.58,4.76,76,103,107,1.96,1.6,0.57,90.2
James Smith 380,POL,GK,Villarreal,La Liga,21,8,7,619,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,21,7,0.0,0.0,0.0,14.5
Carlos López 381,SEN,FW,Villarreal,La Liga,21,22,9,1020,9,6,15,7,2,3,0,0,11.62,10.1,0.58,10.68,146,99,192,0.79,0.53,1.03,200.0
Luis Wagner 382,URU,MF,Villarreal,La Liga,35,24,23,1142,4,7,11,4,0,0,1,0,0.1,0.1,0.2,0.3,96,150,83,0.32,0.55,0.01,84.2
Antoine Garcia 383,ARG,DF,Villarreal,La Liga,26,33,33,2013,3,2,5,3,0,1,3,0,6.75,6.75,5.36,12.11,67,54,57,0.13,0.09,0.3,28.1
Kai Fernández 384,ESP,FW,Betis,La Liga,20,30,9,1092,12,7,19,12,0,0,1,0,10.56,10.56,3.44,14.0,130,109,92,0.99,0.58,0.87,123.0
Jude Becker 385,ENG,GK,Betis,La Liga,18,20,9,844,0,0,0,0,0,1,2,1,0.0,0.0,0.0,0.0,0,29,9,0.0,0.0,0.0,5.8
Vinicius Müller 386,ENG,DF,Betis,La Liga,26,12,5,492,1,1,2,1,0,1,0,0,0.08,0.08,0.37,0.45,18,58,33,0.18,0.18,0.01,29.1
Erling Martinez 387,BRA,MF,Betis,La Liga,31,30,6,1104,6,9,15,6,0,1,2,0,20.83,20.83,15.68,36.51,93,150,105,0.49,0.73,1.7,59.2
Kylian Fischer 388,BRA,GK,Betis,La Liga,26,14,1,504,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,5,1,0.0,0.0,0.0,7.4
Pedri Rossi 389,ENG,FW,Betis,La Liga,17,20,9,894,7,4,11,7,0,0,1,0,3.28,3.28,6.14,9.42,83,110,119,0.7,0.4,0.33,114.4
Gavi Rodríguez 390,BEL,MF,Betis,La Liga,17,27,12,927,4,9,13,4,0,0,3,1,5.44,5.44,3.8,9.24,133,288,174,0.39,0.87,0.53,86.7
Bukayo Schneider 391,ITA,MF,Betis,La Liga,26,18,17,1140,4,5,9,4,0,0,2,0,6.04,6.04,1.51,7.55,98,171,127,0.32,0.39,0.48,112.8
Trent Dupont 392,ARG,MF,Betis,La Liga,32,9,8,393,6,9,15,6,0,1,7,0,0.29,0.29,5.11,5.4,82,250,98,1.37,2.06,0.07,75.8
Phil Hernández 393,ESP,MF,Betis,La Liga,29,12,6,636,2,3,5,2,0,0,0,0,0.13,0.13,0.01,0.14,38,133,84,0.28,0.42,0.02,58.2
Harry Meyer 394,MAR,FW,Betis,La Liga,22,5,5,265,8,3,11,8,0,0,1,0,2.7,2.7,4.87,7.57,111,115,86,2.72,1.02,0.92,93.9
Son Silva 395,ARG,MF,Betis,La Liga,24,14,4,520,5,5,10,5,0,0,3,0,6.23,6.23,2.22,8.45,93,81,119,0.87,0.87,1.08,123.5
Bruno González 396,URU,FW,Betis,La Liga,32,18,14,946,8,5,13,7,1,1,1,0,5.02,4.26,0.99,5.25,116,32,99,0.76,0.48,0.48,144.7
Kevin Weber 397,POR,MF,Betis,La Liga,26,6,5,348,5,7,12,5,0,1,0,0,13.89,13.89,4.26,18.15,55,77,144,1.29,1.81,3.59,64.3
Robert Santos 398,MAR,FW,Betis,La Liga,26,24,23,1567,6,4,10,5,1,2,3,0,21.44,20.68,1.63,22.31,152,59,156,0.34,0.23,1.23,90.7
Luca Pérez 399,URU,FW,Betis,La Liga,28,29,12,1111,16,2,18,16,0,0,1,0,2.63,2.63,1.81,4.44,73,47,109,1.3,0.16,0.21,119.2
Marco Smith 400,CRO,MF,Betis,La Liga,29,24,18,1764,6,5,11,6,0,0,2,0,2.34,2.34,1.03,3.37,64,211,70,0.31,0.26,0.12,131.4
James López 401,NGR,DF,Betis,La Liga,30,19,13,1343,1,1,2,1,0,0,2,0,2.92,2.92,4.1,7.02,59,76,70,0.07,0.07,0.2,25.4
Carlos Wagner 402,POR,GK,Betis,La Liga,31,20,10,790,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,16,7,0.0,0.0,0.0,9.0
Luis Garcia 403,POR,DF,Betis,La Liga,28,18,9,954,0,1,1,0,0,0,6,0,2.0,2.0,0.3,2.3,22,106,31,0.0,0.09,0.19,29.2
Antoine Fernández 404,FRA,FW,Betis,La Liga,24,30,30,1560,9,7,16,8,1,1,1,0,1.87,1.11,7.75,8.86,184,24,148,0.52,0.4,0.11,200.0
Kai Becker 405,COL,FW,Betis,La Liga,23,27,18,1737,8,5,13,8,0,0,0,0,6.18,6.18,0.15,6.33,173,97,140,0.41,0.26,0.32,88.5
Jude Müller 406,BRA,FW,Betis,La Liga,24,14,14,854,10,5,15,10,0,1,1,0,10.12,10.12,4.51,14.63,85,100,206,1.05,0.53,1.07,200.0
Vinicius Martinez 407,NED,GK,Betis,La Liga,30,6,0,186,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,23,7,0.0,0.0,0.0,9.2
Erling Fischer 408,BRA,MF,Osasuna,La Liga,27,28,23,1348,4,10,14,4,0,0,4,0,1.82,1.82,2.85,4.67,102,298,138,0.27,0.67,0.12,71.1
Kylian Rossi 409,URU,MF,Osasuna,La Liga,22,6,2,178,6,6,12,6,0,0,1,0,0.41,0.41,0.07,0.48,118,154,52,3.03,3.03,0.21,56.6
Pedri Rodríguez 410,MAR,MF,Osasuna,La Liga,29,15,2,350,12,4,16,12,0,0,2,0,8.32,8.32,10.12,18.44,146,78,41,3.09,1.03,2.14,108.1
Gavi Schneider 411,FRA,MF,Osasuna,La Liga,22,10,2,204,0,6,6,0,0,0,1,0,5.55,5.55,0.52,6.07,70,177,105,0.0,2.65,2.45,84.1
Bukayo Dupont 412,ESP,DF,Osasuna,La Liga,23,17,6,822,2,2,4,2,0,0,1,0,0.67,0.67,3.02,3.69,51,102,78,0.22,0.22,0.07,13.5
Trent Hernández 413,MAR,FW,Osasuna,La Liga,22,20,14,1064,13,2,15,12,1,1,2,0,8.69,7.93,0.7,8.63,50,50,193,1.1,0.17,0.74,133.0
Phil Meyer 414,SEN,FW,Osasuna,La Liga,25,10,9,437,9,6,15,9,0,0,1,0,14.05,14.05,2.47,16.52,92,68,137,1.85,1.24,2.89,142.8
Harry Silva 415,NGR,DF,Osasuna,La Liga,26,6,2,312,0,1,1,0,0,0,5,0,2.94,2.94,0.24,3.18,50,113,66,0.0,0.29,0.85,26.6
Son González 416,NGR,FW,Osasuna,La Liga,22,10,5,415,12,3,15,12,0,0,2,0,5.35,5.35,1.91,7.26,139,57,203,2.6,0.65,1.16,173.2
Bruno Weber 417,GER,GK,Osasuna,La Liga,25,8,2,178,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,16,2,0.0,0.0,0.0,14.7
Kevin Santos 418,SEN,FW,Osasuna,La Liga,24,16,4,548,13,8,21,13,0,1,0,0,4.59,4.59,4.66,9.25,114,114,82,2.14,1.31,0.75,200.0
Robert Pérez 419,URU,DF,Osasuna,La Liga,22,24,3,435,1,2,3,1,0,0,2,0,0.98,0.98,2.46,3.44,62,57,68,0.21,0.41,0.2,29.8
Luca Smith 420,POR,FW,Osasuna,La Liga,30,31,6,1045,16,3,19,16,0,0,1,0,8.56,8.56,13.05,21.61,64,105,205,1.38,0.26,0.74,160.6
Marco López 421,ARG,GK,Osasuna,La Liga,29,13,12,995,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0,4,8,0.0,0.0,0.0,6.1
James Wagner 422,URU,GK,Osasuna,La Liga,34,18,18,1260,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,21,2,0.0,0.0,0.0,12.3
Carlos Garcia 423,NED,DF,Osasuna,La Liga,21,21,10,751,1,1,2,1,0,0,1,0,0.4,0.4,0.27,0.67,54,42,68,0.12,0.12,0.05,10.6
Luis Fernández 424,ITA,MF,Osasuna,La Liga,29,20,16,1496,5,7,12,5,0,0,2,0,5.01,5.01,10.11,15.12,67,134,99,0.3,0.42,0.3,72.6
Antoine Becker 425,POR,FW,Osasuna,La Liga,17,16,10,748,15,6,21,15,0,0,0,1,7.88,7.88,6.24,14.12,66,65,93,1.8,0.72,0.95,141.2
Kai Müller 426,ARG,MF,Osasuna,La Liga,26,19,12,967,3,6,9,3,0,0,1,0,1.9,1.9,11.24,13.14,31,194,91,0.28,0.56,0.18,91.7
Jude Martinez 427,MAR,MF,Osasuna,La Liga,26,8,2,426,2,3,5,2,0,0,3,0,3.32,3.32,1.18,4.5,38,175,116,0.42,0.63,0.7,64.3
Vinicius Fischer 428,NED,MF,Osasuna,La Liga,24,15,11,896,3,10,13,3,0,0,3,0,0.99,0.99,2.3,3.29,145,141,144,0.3,1.0,0.1,55.7
Erling Rossi 429,COL,MF,Osasuna,La Liga,22,29,17,1349,5,10,15,5,0,0,1,1,0.29,0.29,2.67,2.96,100,289,112,0.33,0.67,0.02,120.2
Kylian Rodríguez 430,GER,DF,Osasuna,La Liga,25,31,12,1585,1,1,2,1,0,0,5,0,2.81,2.81,0.66,3.47,69,79,11,0.06,0.06,0.16,16.1
Pedri Schneider 431,ESP,DF,Osasuna,La Liga,18,11,4,553,1,2,3,1,0,0,1,0,0.22,0.22,4.11,4.33,65,97,23,0.16,0.33,0.04,29.5
Gavi Dupont 432,BEL,MF,Bayern Munich,Bundesliga,27,6,4,360,4,7,11,4,0,1,1,0,0.72,0.72,7.51,8.23,135,145,47,1.0,1.75,0.18,45.6
Bukayo Hernández 433,MAR,MF,Bayern Munich,Bundesliga,28,14,3,494,2,6,8,2,0,0,4,0,6.34,6.34,4.98,11.32,94,86,160,0.36,1.09,1.16,51.1
Trent Meyer 434,POR,DF,Bayern Munich,Bundesliga,29,14,13,1018,3,0,3,3,0,0,4,1,0.37,0.37,0.02,0.39,30,82,70,0.27,0.0,0.03,36.0
Phil Silva 435,CRO,MF,Bayern Munich,Bundesliga,28,15,9,1005,1,6,7,1,0,0,2,0,11.89,11.89,5.05,16.94,124,286,156,0.09,0.54,1.06,42.3
Harry González 436,ITA,MF,Bayern Munich,Bundesliga,17,17,8,908,2,10,12,2,0,0,4,0,0.55,0.55,9.67,10.22,36,184,89,0.2,0.99,0.05,52.9
Son Weber 437,SEN,MF,Bayern Munich,Bundesliga,26,8,2,390,3,11,14,3,0,1,4,0,7.17,7.17,2.6,9.77,43,181,57,0.69,2.54,1.65,132.8
Bruno Santos 438,URU,DF,Bayern Munich,Bundesliga,24,20,11,1018,0,0,0,0,0,0,3,0,0.56,0.56,1.3,1.86,50,61,61,0.0,0.0,0.05,10.7
Kevin Pérez 439,ARG,MF,Bayern Munich,Bundesliga,30,32,7,1158,3,4,7,3,0,0,4,0,2.62,2.62,2.68,5.3,143,84,62,0.23,0.31,0.2,57.2
Robert Smith 440,URU,GK,Bayern Munich,Bundesliga,30,8,4,292,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,22,1,0.0,0.0,0.0,15.8
Luca López 441,NED,FW,Bayern Munich,Bundesliga,27,5,2,155,9,8,17,9,0,0,1,0,11.51,11.51,0.68,12.19,120,41,155,5.23,4.65,6.68,133.0
Marco Wagner 442,ARG,MF,Bayern Munich,Bundesliga,22,12,7,536,3,10,13,3,0,1,4,0,3.58,3.58,1.89,5.47,60,124,118,0.5,1.68,0.6,73.9
James Garcia 443,SEN,FW,Bayern Munich,Bundesliga,19,27,19,1715,15,3,18,15,0,0,0,0,11.02,11.02,0.16,11.18,107,84,138,0.79,0.16,0.58,88.8
Carlos Fernández 444,MAR,DF,Bayern Munich,Bundesliga,29,16,11,996,1,2,3,1,0,0,2,0,2.19,2.19,2.49,4.68,42,24,45,0.09,0.18,0.2,19.8
Luis Becker 445,FRA,GK,Bayern Munich,Bundesliga,20,22,17,1323,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,22,5,0.0,0.0,0.0,15.6
Antoine Müller 446,NGR,DF,Bayern Munich,Bundesliga,17,13,6,598,2,3,5,2,0,0,0,0,3.53,3.53,1.48,5.01,37,42,16,0.3,0.45,0.53,34.8
Kai Martinez 447,URU,FW,Bayern Munich,Bundesliga,29,23,3,674,9,5,14,7,2,2,1,0,2.12,0.6,0.14,0.74,179,76,103,1.2,0.67,0.28,123.1
Jude Fischer 448,ITA,MF,Bayern Munich,Bundesliga,24,30,13,820,5,8,13,5,0,0,3,0,4.44,4.44,3.17,7.61,73,292,61,0.55,0.88,0.49,106.8
Vinicius Rossi 449,CRO,FW,Bayern Munich,Bundesliga,30,33,3,1200,8,4,12,8,0,0,1,0,5.99,5.99,0.4,6.39,54,84,147,0.6,0.3,0.45,105.8
Erling Rodríguez 450,SEN,MF,Bayern Munich,Bundesliga,33,12,2,458,4,9,13,4,0,1,2,0,17.68,17.68,0.04,17.72,99,140,132,0.79,1.77,3.47,54.2
Kylian Schneider 451,SEN,GK,Borussia Dortmund,Bundesliga,29,20,20,1680,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,12.4
Pedri Dupont 452,ARG,FW,Borussia Dortmund,Bundesliga,19,5,4,368,10,2,12,10,0,0,2,0,7.99,7.99,1.89,9.88,77,62,176,2.45,0.49,1.95,200.0
Gavi Hernández 453,COL,FW,Borussia Dortmund,Bundesliga,22,25,0,1025,13,3,16,13,0,0,0,0,2.6,2.6,4.05,6.65,83,46,136,1.14,0.26,0.23,89.1
Bukayo Meyer 454,POL,MF,Borussia Dortmund,Bundesliga,28,33,14,1844,2,6,8,2,0,0,1,1,3.79,3.79,1.28,5.07,82,262,105,0.1,0.29,0.18,61.5
Trent Silva 455,CRO,DF,Borussia Dortmund,Bundesliga,24,26,0,338,0,0,0,0,0,1,1,0,1.93,1.93,1.86,3.79,23,108,58,0.0,0.0,0.51,18.1
Phil González 456,FRA,GK,Borussia Dortmund,Bundesliga,26,7,0,252,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,16,7,0.0,0.0,0.0,15.3
Harry Weber 457,POL,MF,Borussia Dortmund,Bundesliga,25,31,2,789,2,10,12,2,0,0,1,0,5.08,5.08,8.07,13.15,80,178,66,0.23,1.14,0.58,70.7
Son Santos 458,GER,FW,Borussia Dortmund,Bundesliga,32,32,22,1658,15,7,22,15,0,1,1,0,35.85,35.85,1.93,37.78,65,27,109,0.81,0.38,1.95,199.2
